Municipality|Ward_Name|Ward_Number|Contest|Party|Candidate|Votes
City of Kenosha|Wards 32|32|Representative in Congress|DEM|Peter Barca|109
City of Kenosha|Wards 32|32|Representative in Congress|REP|Bryan Steil|98
City of Kenosha|Wards 32|32|Representative in Congress|GRN|Chester Todd, Jr.|7
City of Kenosha|Wards 32|32|Representative in Congress|Write-In||0
City of Kenosha|Wards 32|32|State Senator District 22|DEM|Robert W. Wirch|154
City of Kenosha|Wards 32|32|State Senator District 22|Write-In||7
City of Kenosha|Wards 32|32|Representative to the Assembly District 65|REP|Brian Gonzales|105
City of Kenosha|Wards 32|32|Representative to the Assembly District 65|DEM|Ben DeSmidt|104
City of Kenosha|Wards 32|32|Representative to the Assembly District 65|Write-In||0
City of Kenosha|Wards 32|32|District Attorney|DEM|Carli McNeill|105
City of Kenosha|Wards 32|32|District Attorney|REP|Xavier Solis|101
City of Kenosha|Wards 32|32|District Attorney|Write-In||0
City of Kenosha|Wards 32|32|County Clerk|DEM|Regi Waligora|157
City of Kenosha|Wards 32|32|County Clerk|Write-In||6
City of Kenosha|Wards 32|32|County Treasurer|DEM|Teri Jacobson|154
City of Kenosha|Wards 32|32|County Treasurer|Write-In||6
City of Kenosha|Wards 32|32|Register of Deeds|DEM|Jennifer Mack|150
City of Kenosha|Wards 32|32|Register of Deeds|Write-In||6
City of Kenosha|Wards 32|32|State Referendum|Yes||147
City of Kenosha|Wards 32|32|State Referendum|No||50
City of Kenosha|Wards 33|33|President / Vice President|REP|Donald J. Trump / JD Vance|455
City of Kenosha|Wards 33|33|President / Vice President|DEM|Kamala D. Harris / Tim Walz|323
City of Kenosha|Wards 33|33|President / Vice President|WTP|Robert F. Kennedy, Jr. / Nicole Shanahan|7
City of Kenosha|Wards 33|33|President / Vice President|GRN|Jill Stein / Rudolph Ware|6
City of Kenosha|Wards 33|33|President / Vice President|LIB|Chase Russell Oliver / Mike ter Maat|5
City of Kenosha|Wards 33|33|President / Vice President|CON|Randall Terry / Stephen Broden|3
City of Kenosha|Wards 33|33|President / Vice President|PSL|Claudia De la Cruz / Karina Garcia|2
City of Kenosha|Wards 33|33|President / Vice President|JFA|Cornel West / Melina Abdullah|0
City of Kenosha|Wards 33|33|President / Vice President|Write-In||5
City of Kenosha|Wards 33|33|United States Senator|REP|Eric Hovde|430
City of Kenosha|Wards 33|33|United States Senator|DEM|Tammy Baldwin|340
City of Kenosha|Wards 33|33|United States Senator|DTC|Phil Anderson|13
City of Kenosha|Wards 33|33|United States Senator|AFT|Thomas Leager|8
City of Kenosha|Wards 33|33|United States Senator|Write-In||4
City of Kenosha|Wards 33|33|Representative in Congress|REP|Bryan Steil|438
City of Kenosha|Wards 33|33|Representative in Congress|DEM|Peter Barca|331
City of Kenosha|Wards 33|33|Representative in Congress|GRN|Chester Todd, Jr.|23
City of Kenosha|Wards 33|33|Representative in Congress|Write-In||1
City of Kenosha|Wards 33|33|State Senator District 22|DEM|Robert W. Wirch|543
City of Kenosha|Wards 33|33|State Senator District 22|Write-In||35
City of Kenosha|Wards 33|33|Representative to the Assembly District 65|REP|Brian Gonzales|435
City of Kenosha|Wards 33|33|Representative to the Assembly District 65|DEM|Ben DeSmidt|329
City of Kenosha|Wards 33|33|Representative to the Assembly District 65|Write-In||4
City of Kenosha|Wards 33|33|District Attorney|REP|Xavier Solis|415
City of Kenosha|Wards 33|33|District Attorney|DEM|Carli McNeill|348
City of Kenosha|Wards 33|33|District Attorney|Write-In||2
City of Kenosha|Wards 33|33|County Clerk|DEM|Regi Waligora|535
City of Kenosha|Wards 33|33|County Clerk|Write-In||34
City of Kenosha|Wards 33|33|County Treasurer|DEM|Teri Jacobson|537
City of Kenosha|Wards 33|33|County Treasurer|Write-In||30
City of Kenosha|Wards 33|33|Register of Deeds|DEM|Jennifer Mack|533
City of Kenosha|Wards 33|33|Register of Deeds|Write-In||31
City of Kenosha|Wards 33|33|State Referendum|Yes||562
City of Kenosha|Wards 33|33|State Referendum|No||168
City of Kenosha|Wards 34|34|President / Vice President|REP|Donald J. Trump / JD Vance|346
